Points
[[-8.632746, 41.14692], [-8.63225472413793, 41.152462137931], [-8.63176344827586, 41.1484336758621], [-8.63127217241379, 41.1531373636364], [-8.63078089655172, 41.1537653453422], [-8.63028962068965, 41.1461908980957], [-8.62979834482759, 41.1505324137931], [-8.62930706896552, 41.1510509827586], [-8.62881579310345, 41.1521119655172], [-8.62832451724138, 41.1502562068966], [-8.62783324137931, 41.1473859444969], [-8.62734196551724, 41.1447006274071], [-8.62685068965517, 41.1447580492611], [-8.6263594137931, 41.1447303881871], [-8.62586813793103, 41.1446574264254], [-8.62537686206896, 41.1445844646637], [-8.6248855862069, 41.144511502902], [-8.62439431034483, 41.1444385411403], [-8.62390303448276, 41.1443575106897], [-8.62341175862069, 41.1442052151724], [-8.62292048275862, 41.1440529196552], [-8.62242920689655, 41.1439006241379], [-8.62193793103448, 41.1436613793103], [-8.62144665517241, 41.1433104679803], [-8.62095537931035, 41.1429595566502], [-8.62046410344828, 41.1426086453202], [-8.61997282758621, 41.1422795880509], [-8.61948155172414, 41.1419590765259], [-8.61899027586207, 41.1416385650009], [-8.618499, 41.141376]]
[[-8.632737, 41.168295], [-8.63174234482759, 41.1681322976407], [-8.63074768965517, 41.1680485623342], [-8.62975303448276, 41.1678916583624], [-8.62875837931035, 41.1675805547623], [-8.62776372413793, 41.167286204244], [-8.62676906896552, 41.1670056604775], [-8.6257744137931, 41.1668406588022], [-8.62477975862069, 41.1646915862069], [-8.62378510344828, 41.1644146651646], [-8.62279044827586, 41.1642143374285], [-8.62179579310345, 41.1640854752199], [-8.62080113793104, 41.1639552370327], [-8.61980648275862, 41.1638215018835], [-8.61881182758621, 41.1636879428347], [-8.61781717241379, 41.1635555742756], [-8.61682251724138, 41.1634232057165], [-8.61582786206897, 41.1633065675676], [-8.61483320689655, 41.1631951969112], [-8.61383855172414, 41.1630779709691], [-8.61284389655173, 41.1629521647812], [-8.61184924137931, 41.1628337650862], [-8.6108545862069, 41.1627597619273], [-8.60985993103448, 41.1601156010972], [-8.60886527586207, 41.1543624251567], [-8.60787062068965, 41.1595106120689], [-8.60687596551724, 41.1534749917241], [-8.60588131034483, 41.1595069175258], [-8.60488665517241, 41.1539703321234], [-8.603892, 41.161545]]
[[-8.616024, 41.140467], [-8.61570496551724, 41.1403495909091], [-8.61538593103448, 41.1403046234018], [-8.61506689655172, 41.1403297160015], [-8.61474786206897, 41.1405916403941], [-8.61442882758621, 41.1419066713996], [-8.61410979310345, 41.140877916574], [-8.61379075862069, 41.1424668965517], [-8.61347172413793, 41.1433368858621], [-8.61315268965517, 41.1435634003448], [-8.61283365517241, 41.1437899148276], [-8.61251462068966, 41.1421157117457], [-8.6121955862069, 41.1407455034483], [-8.61187655172414, 41.1445214387477], [-8.61155751724138, 41.1447775058984], [-8.61123848275862, 41.1450096551724], [-8.61091944827586, 41.147262], [-8.6106004137931, 41.1471188431035], [-8.61028137931034, 41.1492829603448], [-8.60996234482759, 41.1510192051724], [-8.60964331034483, 41.1529440156148], [-8.60932427586207, 41.1551301103448], [-8.60900524137931, 41.1470944581281], [-8.60868620689655, 41.1512415943205], [-8.60836717241379, 41.1574824124138], [-8.60804813793103, 41.157533457931], [-8.60772910344827, 41.1575845034483], [-8.60741006896552, 41.1576355489655], [-8.60709103448276, 41.1578782980296], [-8.606772, 41.15826]]
[[-8.649207, 41.169879], [-8.64692906896552, 41.1698678861418], [-8.64465113793104, 41.1695340365112], [-8.64237320689655, 41.1700032805219], [-8.64009527586207, 41.1656212853327], [-8.63781734482759, 41.164639531934], [-8.6355394137931, 41.1641386660617], [-8.63326148275862, 41.1629432042096], [-8.63098355172414, 41.1600157176724], [-8.62870562068966, 41.1645189949843], [-8.62642768965517, 41.1648609505329], [-8.62414975862069, 41.166228204087], [-8.62187182758621, 41.1675954576411], [-8.61959389655173, 41.1689627111952], [-8.61731596551724, 41.1703299647493], [-8.61503803448276, 41.1716972183034], [-8.61276010344828, 41.1730644718575], [-8.61048217241379, 41.1742845106799], [-8.60820424137931, 41.1731271003769], [-8.60592631034483, 41.1720094715399], [-8.60364837931034, 41.1712254576051], [-8.60137044827586, 41.1704414436703], [-8.59909251724138, 41.1696574297355], [-8.5968145862069, 41.1688734158007], [-8.59453665517241, 41.1680894018658], [-8.59225872413793, 41.167305387931], [-8.58998079310345, 41.1665213739962], [-8.58770286206897, 41.1657373600614], [-8.58542493103448, 41.1649533461266], [-8.583147, 41.164758]]
[[-8.649405, 41.162238], [-8.64704731034483, 41.1618186896552], [-8.64468962068966, 41.1540879541057], [-8.64233193103448, 41.1588107509982], [-8.63997424137931, 41.1416784228675], [-8.63761655172414, 41.1702301151044], [-8.63525886206897, 41.171386157946], [-8.63290117241379, 41.1718935737631], [-8.63054348275862, 41.1723834348025], [-8.62818579310345, 41.1728258269011], [-8.62582810344828, 41.1731551187987], [-8.6234704137931, 41.173388352614], [-8.62111272413793, 41.1736300330848], [-8.61875503448276, 41.1738786504737], [-8.61639734482759, 41.1741843728685], [-8.61403965517241, 41.1743990118158], [-8.61168196551724, 41.1744319864963], [-8.60932427586207, 41.1737650003555], [-8.6069665862069, 41.1728140689655], [-8.60460889655172, 41.1719408505747], [-8.60225120689655, 41.1715126647313], [-8.59989351724138, 41.1714255221978], [-8.59753582758621, 41.1715912557098], [-8.59517813793103, 41.171861726601], [-8.59282044827586, 41.1705360896552], [-8.59046275862069, 41.1691289801061], [-8.58810506896552, 41.1674796993103], [-8.58574737931034, 41.1629450762069], [-8.58338968965517, 41.1609417742947], [-8.581032, 41.163516]]
[[-8.666811, 41.175549], [-8.66649879310345, 41.1744318275862], [-8.6661865862069, 41.1751098306858], [-8.66587437931034, 41.175702672995], [-8.66556217241379, 41.1762955153041], [-8.66524996551724, 41.1764969574036], [-8.66493775862069, 41.1766438782961], [-8.66462555172414, 41.1767907991886], [-8.66431334482759, 41.1769377200811], [-8.66400113793103, 41.1770846409736], [-8.66368893103448, 41.1781125431035], [-8.66337672413793, 41.1800681724138], [-8.66306451724138, 41.1788227965517], [-8.66275231034483, 41.1808074384236], [-8.66244010344828, 41.1811130750507], [-8.66212789655172, 41.1778685720081], [-8.66181568965517, 41.1774105686137], [-8.66150348275862, 41.1781879000704], [-8.66119127586207, 41.1789652315271], [-8.66087906896552, 41.1797425629838], [-8.66056686206896, 41.1797619053861], [-8.66025465517241, 41.1788743089199], [-8.65994244827586, 41.1779867124537], [-8.65963024137931, 41.1770991159875], [-8.65931803448276, 41.17950711133], [-8.65900582758621, 41.179102729064], [-8.65869362068966, 41.178698346798], [-8.6583814137931, 41.1782872644941], [-8.65806920689655, 41.1778721322471], [-8.657757, 41.177457]]
[[-8.599239, 41.149188], [-8.59872444827586, 41.1492875906563], [-8.59820989655172, 41.1501175584525], [-8.59769534482759, 41.151007876305], [-8.59718079310345, 41.1518906393546], [-8.59666624137931, 41.1527796860254], [-8.59615168965517, 41.1536733811252], [-8.59563713793104, 41.154567296146], [-8.5951225862069, 41.1554618762677], [-8.59460803448276, 41.1563564563895], [-8.59409348275862, 41.1572534961686], [-8.59357893103448, 41.1581523735632], [-8.59306437931034, 41.1590512509579], [-8.59254982758621, 41.1599034612358], [-8.59203527586207, 41.1607391761166], [-8.59152072413793, 41.1615470490018], [-8.59100617241379, 41.1621729364791], [-8.59049162068966, 41.1627988239564], [-8.58997706896552, 41.1634332413793], [-8.58946251724138, 41.1641193103448], [-8.58894796551724, 41.1649932068965], [-8.5884334137931, 41.1663827261084], [-8.58791886206897, 41.1675049389163], [-8.58740431034483, 41.1683184626183], [-8.58688975862069, 41.1686372114739], [-8.58637520689655, 41.1687917268692], [-8.58586065517241, 41.1687076664391], [-8.58534610344828, 41.1686236060089], [-8.58483155172414, 41.1685395455787], [-8.584317, 41.169258]]
[[-8.649828, 41.17824], [-8.64956265517241, 41.1780081220876], [-8.64929731034483, 41.1777762441752], [-8.64903196551724, 41.1775443662628], [-8.64876662068965, 41.1774507839757], [-8.64850127586207, 41.177807178499], [-8.64823593103448, 41.1781635730223], [-8.6479705862069, 41.1785199675456], [-8.64770524137931, 41.1781454482759], [-8.64743989655172, 41.1775592616633], [-8.64717455172414, 41.1769730750507], [-8.64690920689655, 41.1763868884381], [-8.64664386206896, 41.1758007018256], [-8.64637851724138, 41.1754145391042], [-8.64611317241379, 41.1751697106292], [-8.64584782758621, 41.1749248821543], [-8.64558248275862, 41.1746800536793], [-8.64531713793103, 41.1744352252044], [-8.64505179310345, 41.1741903967295], [-8.64478644827586, 41.1739391417273], [-8.64452110344827, 41.1725953770958], [-8.64425575862069, 41.1712516124644], [-8.6439904137931, 41.169907847833], [-8.64372506896552, 41.1695200049261], [-8.64345972413793, 41.1712721231527], [-8.64319437931034, 41.1725555316456], [-8.64292903448276, 41.1715814810127], [-8.64266368965517, 41.1706074303797], [-8.64239834482759, 41.1704723017241], [-8.642133, 41.171202]]
[[-8.621163, 41.160357], [-8.62075582758621, 41.1602008078818], [-8.62034865517241, 41.1591116017241], [-8.61994148275862, 41.1582870775862], [-8.61953431034483, 41.1564404066442], [-8.61912713793103, 41.1562268894029], [-8.61871996551724, 41.1560133721615], [-8.61831279310345, 41.1557998549201], [-8.61790562068965, 41.1556840694595], [-8.61749844827586, 41.1556479022824], [-8.61709127586207, 41.1556117351052], [-8.61668410344828, 41.1555755679281], [-8.61627693103448, 41.1555394007509], [-8.61586975862069, 41.1555032335738], [-8.6154625862069, 41.1554670663966], [-8.6150554137931, 41.1554308992194], [-8.61464824137931, 41.1553846653061], [-8.61424106896552, 41.1553364693878], [-8.61383389655172, 41.1552882734694], [-8.61342672413793, 41.155240077551], [-8.61301955172414, 41.1551918816327], [-8.61261237931035, 41.1550062476489], [-8.61220520689655, 41.1546319780564], [-8.61179803448276, 41.1542912598236], [-8.61139086206897, 41.1540608444266], [-8.61098368965517, 41.1538304290297], [-8.61057651724138, 41.1534301741598], [-8.61016934482759, 41.1527549895242], [-8.60976217241379, 41.1531807635468], [-8.609355, 41.153535]]
[[-8.661231, 41.166576], [-8.65917434482759, 41.1681352057394], [-8.65711768965517, 41.1705495590092], [-8.65506103448276, 41.1730472013047], [-8.65300437931035, 41.1752936733824], [-8.65094772413793, 41.1792568137931], [-8.64889106896552, 41.1810997136622], [-8.6468344137931, 41.1822925741995], [-8.64477775862069, 41.1833882327586], [-8.64272110344828, 41.1839006886541], [-8.64066444827586, 41.183540364532], [-8.63860779310345, 41.1824140004573], [-8.63655113793103, 41.1812847494741], [-8.63449448275862, 41.1801714668435], [-8.63243782758621, 41.1791079963899], [-8.63038117241379, 41.1793233140794], [-8.62832451724138, 41.1795352433742], [-8.62626786206897, 41.1797505406099], [-8.62421120689655, 41.180085887502], [-8.62215455172414, 41.180439520518], [-8.62009789655172, 41.181341229134], [-8.61804124137931, 41.1823266427446], [-8.6159845862069, 41.1829206226415], [-8.61392793103448, 41.1831172540835], [-8.61187127586207, 41.1836536551724], [-8.60981462068965, 41.1841937555535], [-8.60775796551724, 41.1845928907891], [-8.60570131034483, 41.1842602241379], [-8.60364465517241, 41.1835186551724], [-8.601588, 41.182632]]
[[-8.615988, 41.140422], [-8.61550324137931, 41.1405715015674], [-8.61501848275862, 41.1406111034483], [-8.61453372413793, 41.1408066724138], [-8.61404896551724, 41.1425843911815], [-8.61356420689655, 41.1420442054292], [-8.61307944827586, 41.1403670407524], [-8.61259468965517, 41.1439584075235], [-8.61210993103448, 41.1443109592476], [-8.61162517241379, 41.1446743226601], [-8.6111404137931, 41.1446966493506], [-8.61065565517241, 41.1441489350649], [-8.61017089655172, 41.1436366913793], [-8.60968613793103, 41.1431577672414], [-8.60920137931034, 41.1431538578977], [-8.60871662068966, 41.1431499485539], [-8.60823186206897, 41.1429815542411], [-8.60774710344828, 41.1427232522024], [-8.60726234482759, 41.1425278885942], [-8.6067775862069, 41.1427205490716], [-8.60629282758621, 41.1429132095491], [-8.60580806896552, 41.1431058700265], [-8.60532331034483, 41.143298530504], [-8.60483855172414, 41.1442282019704], [-8.60435379310345, 41.1452103819629], [-8.60386903448276, 41.145384397878], [-8.60338427586207, 41.1455091935737], [-8.60289951724138, 41.15058567297], [-8.60241475862069, 41.1534909310345], [-8.60193, 41.146875]]
[[-8.60418, 41.160969], [-8.60333803448276, 41.1621546435961], [-8.60249606896552, 41.1631252116528], [-8.60165410344828, 41.1637407174792], [-8.60081213793103, 41.1643709809604], [-8.59997017241379, 41.1650114946055], [-8.59912820689655, 41.1653949472372], [-8.59828624137931, 41.1657322406523], [-8.59744427586207, 41.1660695340673], [-8.59660231034483, 41.1663792861055], [-8.59576034482759, 41.1666244466531], [-8.59491837931034, 41.1668696072008], [-8.5940764137931, 41.1671147677485], [-8.59323444827586, 41.1674861463455], [-8.59239248275862, 41.1679212290051], [-8.59155051724138, 41.1683812906993], [-8.59070855172414, 41.1688743940102], [-8.5898665862069, 41.1693674973211], [-8.58902462068965, 41.1694679472875], [-8.58818265517241, 41.1694133307105], [-8.58734068965517, 41.1690573318676], [-8.58649872413793, 41.1687988407441], [-8.58565675862069, 41.1686474346642], [-8.58481479310345, 41.1684991579683], [-8.58397282758621, 41.1684270978565], [-8.58313086206897, 41.1683550377446], [-8.58228889655172, 41.1683871103448], [-8.58144693103448, 41.1684713068965], [-8.58060496551724, 41.1683399303308], [-8.579763, 41.167899]]
